schema_version,dataset_version,case_id,content_type,input_text,image_url,image_path,human_decision,expected_policy,expected_exemption,risk_level,is_boundary_case,human_reason,source,split,expected_route,tags
1.2.0,v3.0.0,C001,product,"Gucci 1:1 mirror copy handbag, includes branded dust bag",,,reject,counterfeit,none,high,false,The listing explicitly markets a branded product as a 1:1 unauthorized copy.,synthetic,development,auto_decide,legacy_v1
1.2.0,v3.0.0,C002,video,Unboxing our fake AirPods that look exactly like the originals,,,reject,counterfeit,none,high,false,The seller directly identifies the branded electronics as fake goods.,synthetic,development,auto_decide,legacy_v1
1.2.0,v3.0.0,C003,product,AAA Rolex replica automatic watch with logo,,,reject,counterfeit,none,high,false,Replica language and the protected logo establish an explicit counterfeit offer.,synthetic,development,auto_decide,legacy_v1
1.2.0,v3.0.0,C004,query,where can I buy counterfeit Nike sneakers with box,,,reject,counterfeit,none,high,false,The query explicitly seeks counterfeit branded goods.,synthetic,development,auto_decide,legacy_v1
1.2.0,v3.0.0,C005,shop_name,Luxury Replica LV Bags Direct,,,reject,counterfeit,none,high,false,The shop name openly promotes replica goods using a protected brand abbreviation.,synthetic,development,auto_decide,legacy_v1
1.2.0,v3.0.0,C006,product,"Adidas Samba dupe, same look for less",,,reject,knockoff,none,high,false,The listing promotes an imitation of a named distinctive branded design.,synthetic,development,auto_decide,legacy_v1
1.2.0,v3.0.0,C007,video,Making a Birkin knockoff from budget leather,,,reject,knockoff,none,high,false,The video explicitly describes copying a distinctive branded bag design.,synthetic,development,auto_decide,legacy_v1
1.2.0,v3.0.0,C008,product,Chrome Hearts inspired cross hoodie copy,,,reject,knockoff,none,medium,false,The item is marketed as an imitation of a named brand's distinctive design.,synthetic,development,auto_decide,legacy_v1
1.2.0,v3.0.0,C009,query,best Dyson Airwrap dupe under 50 dollars,,,reject,knockoff,none,high,false,The query explicitly seeks a substitute copying a named branded product.,synthetic,development,auto_decide,legacy_v1
1.2.0,v3.0.0,C010,product,"Unbranded sandals, same design as Hermès Oran",,,reject,knockoff,none,medium,true,The listing intentionally compares an unbranded item to a distinctive protected design.,synthetic,development,auto_decide,legacy_v1
1.2.0,v3.0.0,C011,product,Generic black cap printed with the Nike swoosh,,,reject,trademark_misuse,none,high,false,A protected logo is used as the primary identity of an unrelated generic product.,synthetic,regression,auto_decide,legacy_v1
1.2.0,v3.0.0,C012,video,Add an Apple logo sticker and sell your generic charger for more,,,reject,trademark_misuse,none,high,false,The content instructs sellers to use a trademark to misrepresent a generic product.,synthetic,regression,auto_decide,legacy_v1
1.2.0,v3.0.0,C013,product,Official Disney collaboration mug,,,reject,trademark_misuse,none,high,true,The listing claims an official collaboration without any licensing evidence.,synthetic,regression,auto_decide,legacy_v1
1.2.0,v3.0.0,C014,product,Plain cotton shirt with large CHANEL logo print,,,reject,trademark_misuse,none,high,false,The trademark is used as the product's primary commercial identity without authorization.,synthetic,regression,auto_decide,legacy_v1
1.2.0,v3.0.0,C015,shop_avatar,Avatar is a full-frame Starbucks logo for a shop selling generic tumblers,,,reject,trademark_misuse,none,high,true,The protected logo is the seller's primary commercial identity for unrelated goods.,synthetic,regression,auto_decide,legacy_v1
1.2.0,v3.0.0,C016,shop_name,Nike Official Discount Store,,,reject,shop_impersonation,none,high,false,The shop name falsely presents the seller as an official brand-operated store.,synthetic,regression,auto_decide,legacy_v1
1.2.0,v3.0.0,C017,shop_name,Apple Authorized Outlet Global,,,reject,shop_impersonation,none,high,false,The name makes an unsupported authorization claim likely to mislead buyers.,synthetic,regression,auto_decide,legacy_v1
1.2.0,v3.0.0,C018,shop_avatar,Avatar uses the Louis Vuitton logo with the text Verified Flagship,,,reject,shop_impersonation,none,high,false,The avatar combines brand identity with an unsupported verified flagship claim.,synthetic,regression,auto_decide,legacy_v1
1.2.0,v3.0.0,C019,video,"Welcome to the official Samsung store, operated by Tech Deals 88",,,reject,shop_impersonation,none,high,true,The seller claims official brand status while identifying an unrelated operator.,synthetic,regression,auto_decide,legacy_v1
1.2.0,v3.0.0,C020,shop_name,LEGO Flagship Shop Online,,,reject,shop_impersonation,none,high,false,The shop name creates a false impression of brand ownership or endorsement.,synthetic,regression,auto_decide,legacy_v1
1.2.0,v3.0.0,C021,query,how to make fake iPhone chargers pass authenticity checks,,,reject,risky_query,none,high,false,The query seeks counterfeit production and evasion of authenticity controls.,synthetic,regression,auto_decide,legacy_v1
1.2.0,v3.0.0,C022,query,cheap Gucci knockoff suppliers with no logo photos,,,reject,risky_query,none,high,false,The query seeks knockoff supply and concealment methods.,synthetic,regression,auto_decide,legacy_v1
1.2.0,v3.0.0,C023,query,where to order replica Yeezys that customs will not detect,,,reject,risky_query,none,high,false,The query requests replica goods and advice for evading enforcement.,synthetic,regression,auto_decide,legacy_v1
