schema_version,dataset_version,case_id,content_type,input_text,image_url,image_path,human_decision,expected_policy,expected_exemption,risk_level,is_boundary_case,human_reason,source,split,expected_route,tags
1.2.0,v4.0.0,C092,shop_name,Shop Name submitted for visual policy review.,,data/golden_set/assets/v3/IMG-C092.png,reject,trademark_misuse,none,high,true,The controlled image uses a protected mark to promote an unrelated generic item.,controlled_visual_fixture,blind,auto_decide,explicit_signal|image_dependent|multimodal|ocr|trademark_misuse
1.2.0,v4.0.0,C093,shop_avatar,Starbucks themed cup icon,,,reject,trademark_misuse,none,medium,true,"Human investigation confirmed the violation, but the submitted brand reference alone is insufficient for automatic enforcement.",synthetic_day6,blind,human_review,brand_only|conflicting_signals|insufficient_context|trademark_misuse
1.2.0,v4.0.0,C094,shop_avatar,Shop Avatar submitted for visual policy review.,,data/golden_set/assets/v3/IMG-C094.png,reject,trademark_misuse,none,high,true,The controlled image uses a protected mark to promote an unrelated generic item.,controlled_visual_fixture,blind,auto_decide,explicit_signal|image_dependent|multimodal|ocr|trademark_misuse
1.2.0,v4.0.0,C095,video,Welcome to the official Samsung store operated by Mobile Deals,,,reject,shop_impersonation,none,high,true,The submitted content presents the seller as an official or authorized brand shop.,synthetic_day6,blind,auto_decide,explicit_signal|shop_impersonation
1.2.0,v4.0.0,C096,shop_name,Shop Name submitted for visual policy review.,,data/golden_set/assets/v3/IMG-C096.png,reject,shop_impersonation,none,high,true,The controlled image presents the seller as an official or authorized brand shop.,controlled_visual_fixture,blind,auto_decide,explicit_signal|image_dependent|multimodal|ocr|shop_impersonation
1.2.0,v4.0.0,C097,shop_name,Apple Official Store Express,,,reject,shop_impersonation,none,high,true,The submitted content presents the seller as an official or authorized brand shop.,synthetic_day6,blind,auto_decide,explicit_signal|shop_impersonation
1.2.0,v4.0.0,C098,shop_name,Shop Name submitted for visual policy review.,,data/golden_set/assets/v3/IMG-C098.png,reject,shop_impersonation,none,high,true,The controlled image presents the seller as an official or authorized brand shop.,controlled_visual_fixture,blind,auto_decide,explicit_signal|image_dependent|multimodal|ocr|shop_impersonation
1.2.0,v4.0.0,C099,shop_name,Chanel Official Outlet Online,,,reject,shop_impersonation,none,high,true,The submitted content presents the seller as an official or authorized brand shop.,synthetic_day6,blind,auto_decide,explicit_signal|shop_impersonation
1.2.0,v4.0.0,C100,shop_name,Shop Name submitted for visual policy review.,,data/golden_set/assets/v3/IMG-C100.png,reject,shop_impersonation,none,high,true,The controlled image presents the seller as an official or authorized brand shop.,controlled_visual_fixture,blind,auto_decide,explicit_signal|image_dependent|multimodal|ocr|shop_impersonation
1.2.0,v4.0.0,C101,shop_avatar,LOUIS VUITTON VERIFIED FLAGSHIP,,,reject,shop_impersonation,none,high,true,The submitted content presents the seller as an official or authorized brand shop.,synthetic_day6,blind,auto_decide,explicit_signal|shop_impersonation
1.2.0,v4.0.0,C102,shop_avatar,APPLE AUTHORIZED STORE,,,reject,shop_impersonation,none,high,true,The submitted content presents the seller as an official or authorized brand shop.,synthetic_day6,blind,auto_decide,explicit_signal|shop_impersonation
1.2.0,v4.0.0,C103,query,where to buy fake Gucci belts that pass authenticity checks,,,reject,risky_query,none,high,true,The submitted content explicitly seeks prohibited goods or methods to evade controls.,synthetic_day6,blind,auto_decide,explicit_signal|risky_query
