asset_id,relative_path,sha256,media_type,source_type,license_or_terms,created_by,notes
IMG-C072,data/golden_set/assets/v3/IMG-C072.png,543478e0df8e52a204adef08fbd4c9450029d0e31aa10fcf581a1f34a020f259,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C074,data/golden_set/assets/v3/IMG-C074.png,7dd1ed73dd0a749e9da4d617db4547fcb7f3e62742c73b6cf88f5ec60f2885d6,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C076,data/golden_set/assets/v3/IMG-C076.png,78755fd6a03b3f8615ee8d941e53cfc6bbda2f9f3518f71eb9c4a73010ef9b8a,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C078,data/golden_set/assets/v3/IMG-C078.png,afb7803d01ee69def0d3cc7b2cb00b6e79fd72ddf4f5d935876422d7fa5daee7,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C080,data/golden_set/assets/v3/IMG-C080.png,a3cb1c98772d75bc7f8735d7207a8c564283c360317eb2fd4c2993afab9942e5,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C082,data/golden_set/assets/v3/IMG-C082.png,b812cd61097c6516401b6e93835bf44b3ec45cb81e18266b5f794f4454b0c9d2,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C084,data/golden_set/assets/v3/IMG-C084.png,0bfa19477cbffb844df657ec1a2f91c1eb5f44003ba129bef289d85741d4e47c,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C086,data/golden_set/assets/v3/IMG-C086.png,f45138050bff9445e8fe47dbcfd71327d9477396db8aa56db31615e5a11500d1,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C088,data/golden_set/assets/v3/IMG-C088.png,d9bee31e15244f9940fb626c779bdbc94b36cc2d19faa1e6f7edfa5127a58558,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C090,data/golden_set/assets/v3/IMG-C090.png,c7a6d0d4551b35902f4c2d371921936ea7b92e70fda421438d56d4faaf6da7c0,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C092,data/golden_set/assets/v3/IMG-C092.png,3dbcf96416025e224bbbf8e43dc4eb7a7491fc6a8d88966412983bd7473a5c02,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
