schema_version,dataset_version,case_id,content_type,input_text,image_url,human_decision,expected_policy,expected_exemption,risk_level,is_boundary_case,human_reason,source,split
1.0.0,v1.0.0,C001,product,"Gucci 1:1 mirror copy handbag, includes branded dust bag",,reject,counterfeit,none,high,false,"The listing explicitly markets a branded product as a 1:1 unauthorized copy.",synthetic,development
1.0.0,v1.0.0,C002,video,"Unboxing our fake AirPods that look exactly like the originals",,reject,counterfeit,none,high,false,"The seller directly identifies the branded electronics as fake goods.",synthetic,development
1.0.0,v1.0.0,C003,product,"AAA Rolex replica automatic watch with logo",,reject,counterfeit,none,high,false,"Replica language and the protected logo establish an explicit counterfeit offer.",synthetic,development
1.0.0,v1.0.0,C004,query,"where can I buy counterfeit Nike sneakers with box",,reject,counterfeit,none,high,false,"The query explicitly seeks counterfeit branded goods.",synthetic,development
1.0.0,v1.0.0,C005,shop_name,"Luxury Replica LV Bags Direct",,reject,counterfeit,none,high,false,"The shop name openly promotes replica goods using a protected brand abbreviation.",synthetic,development
1.0.0,v1.0.0,C006,product,"Adidas Samba dupe, same look for less",,reject,knockoff,none,high,false,"The listing promotes an imitation of a named distinctive branded design.",synthetic,development
1.0.0,v1.0.0,C007,video,"Making a Birkin knockoff from budget leather",,reject,knockoff,none,high,false,"The video explicitly describes copying a distinctive branded bag design.",synthetic,development
1.0.0,v1.0.0,C008,product,"Chrome Hearts inspired cross hoodie copy",,reject,knockoff,none,medium,false,"The item is marketed as an imitation of a named brand's distinctive design.",synthetic,development
1.0.0,v1.0.0,C009,query,"best Dyson Airwrap dupe under 50 dollars",,reject,knockoff,none,high,false,"The query explicitly seeks a substitute copying a named branded product.",synthetic,development
1.0.0,v1.0.0,C010,product,"Unbranded sandals, same design as Hermès Oran",,reject,knockoff,none,medium,true,"The listing intentionally compares an unbranded item to a distinctive protected design.",synthetic,development
1.0.0,v1.0.0,C011,product,"Generic black cap printed with the Nike swoosh",,reject,trademark_misuse,none,high,false,"A protected logo is used as the primary identity of an unrelated generic product.",synthetic,regression
1.0.0,v1.0.0,C012,video,"Add an Apple logo sticker and sell your generic charger for more",,reject,trademark_misuse,none,high,false,"The content instructs sellers to use a trademark to misrepresent a generic product.",synthetic,regression
1.0.0,v1.0.0,C013,product,"Official Disney collaboration mug",,reject,trademark_misuse,none,high,true,"The listing claims an official collaboration without any licensing evidence.",synthetic,regression
1.0.0,v1.0.0,C014,product,"Plain cotton shirt with large CHANEL logo print",,reject,trademark_misuse,none,high,false,"The trademark is used as the product's primary commercial identity without authorization.",synthetic,regression
1.0.0,v1.0.0,C015,shop_avatar,"Avatar is a full-frame Starbucks logo for a shop selling generic tumblers",,reject,trademark_misuse,none,high,true,"The protected logo is the seller's primary commercial identity for unrelated goods.",synthetic,regression
1.0.0,v1.0.0,C016,shop_name,"Nike Official Discount Store",,reject,shop_impersonation,none,high,false,"The shop name falsely presents the seller as an official brand-operated store.",synthetic,regression
1.0.0,v1.0.0,C017,shop_name,"Apple Authorized Outlet Global",,reject,shop_impersonation,none,high,false,"The name makes an unsupported authorization claim likely to mislead buyers.",synthetic,regression
1.0.0,v1.0.0,C018,shop_avatar,"Avatar uses the Louis Vuitton logo with the text Verified Flagship",,reject,shop_impersonation,none,high,false,"The avatar combines brand identity with an unsupported verified flagship claim.",synthetic,regression
1.0.0,v1.0.0,C019,video,"Welcome to the official Samsung store, operated by Tech Deals 88",,reject,shop_impersonation,none,high,true,"The seller claims official brand status while identifying an unrelated operator.",synthetic,regression
1.0.0,v1.0.0,C020,shop_name,"LEGO Flagship Shop Online",,reject,shop_impersonation,none,high,false,"The shop name creates a false impression of brand ownership or endorsement.",synthetic,regression
1.0.0,v1.0.0,C021,query,"how to make fake iPhone chargers pass authenticity checks",,reject,risky_query,none,high,false,"The query seeks counterfeit production and evasion of authenticity controls.",synthetic,regression
1.0.0,v1.0.0,C022,query,"cheap Gucci knockoff suppliers with no logo photos",,reject,risky_query,none,high,false,"The query seeks knockoff supply and concealment methods.",synthetic,regression
1.0.0,v1.0.0,C023,query,"where to order replica Yeezys that customs will not detect",,reject,risky_query,none,high,false,"The query requests replica goods and advice for evading enforcement.",synthetic,regression
1.0.0,v1.0.0,C024,query,"best keywords to find fake Chanel bags",,reject,risky_query,none,high,false,"The query explicitly requests techniques for locating counterfeit goods.",synthetic,regression
1.0.0,v1.0.0,C025,query,"seller guide for hiding counterfeit brand names in listings",,reject,risky_query,none,high,false,"The query requests methods to conceal counterfeit listings from moderation.",synthetic,regression
1.0.0,v1.0.0,C026,product,"Protective case compatible with iPhone 15 Pro; not made by Apple",,approve,,compatibility,low,true,"The brand is used accurately to describe compatibility and non-affiliation is clear.",synthetic,regression
1.0.0,v1.0.0,C027,product,"Replacement brush heads fit Philips Sonicare handles",,approve,,compatibility,low,true,"The trademark identifies interoperability rather than product origin or sponsorship.",synthetic,regression
1.0.0,v1.0.0,C028,product,"USB-C charging cable for use with Samsung Galaxy devices",,approve,,compatibility,low,true,"The wording is a factual compatibility statement without an authorization claim.",synthetic,regression
1.0.0,v1.0.0,C029,query,"which generic stylus is compatible with iPad",,approve,,compatibility,low,true,"The query neutrally asks about interoperability and does not seek infringing goods.",synthetic,regression
1.0.0,v1.0.0,C030,product,"Third-party vacuum filter fits Dyson V10; Dyson is a trademark of its owner",,approve,,compatibility,low,true,"The listing accurately describes fit and clearly identifies third-party origin.",synthetic,regression
1.0.0,v1.0.0,C031,product,"Pre-owned authentic Coach wallet with receipt and visible wear",,approve,,second_hand,low,true,"The listing truthfully offers a used authentic item and includes provenance details.",synthetic,regression
1.0.0,v1.0.0,C032,video,"Condition review of my used Nike running shoes before resale",,approve,,second_hand,low,true,"The content documents resale of a used genuine product without counterfeit signals.",synthetic,regression
1.0.0,v1.0.0,C033,product,"Second-hand LEGO set, opened box, all original pieces included",,approve,,second_hand,low,true,"The listing clearly states used condition and makes no false affiliation claim.",synthetic,regression
1.0.0,v1.0.0,C034,product,"Vintage 1998 Patagonia jacket from my personal collection",,approve,,second_hand,low,true,"A specific pre-owned authentic item may be resold under the second-hand exemption.",synthetic,regression
1.0.0,v1.0.0,C035,shop_name,"Maya's Pre-Owned Designer Closet",,approve,,second_hand,low,true,"The shop describes a resale business without claiming to be an official brand store.",synthetic,regression
1.0.0,v1.0.0,C036,product,"Fresh apple juice, six glass bottles",,approve,,meaningful_word,low,true,"Apple is used in its ordinary fruit meaning rather than as a technology trademark.",synthetic,regression
1.0.0,v1.0.0,C037,video,"How I planned a productive gap year",,approve,,meaningful_word,low,true,"Gap is used as an ordinary phrase unrelated to the apparel brand.",synthetic,regression
1.0.0,v1.0.0,C038,product,"Handmade shell necklace from natural sea shells",,approve,,meaningful_word,low,true,"Shell is used in its ordinary descriptive meaning rather than as a brand reference.",synthetic,regression
1.0.0,v1.0.0,C039,shop_name,"Amazon Rainforest Books",,approve,,meaningful_word,low,true,"Amazon refers to the geographic rainforest context and does not imply marketplace affiliation.",synthetic,regression
1.0.0,v1.0.0,C040,query,"how to wash a puma after wildlife rescue",,approve,,meaningful_word,low,true,"Puma is used as an animal name in a non-commercial wildlife context.",synthetic,regression
1.0.0,v1.0.0,C041,shop_avatar,"Portrait of the seller wearing a small Nike shirt logo; face remains the main subject",,approve,,incidental_exposure,low,true,"The logo is incidental to a personal portrait and is not the promoted subject.",synthetic,regression
1.0.0,v1.0.0,C042,video,"Home cooking tutorial with a Coca-Cola bottle in the background",,approve,,incidental_exposure,low,true,"The branded bottle appears incidentally and is unrelated to the promoted cooking content.",synthetic,regression
