asset_id,relative_path,sha256,media_type,source_type,license_or_terms,created_by,notes
IMG-C151,data/golden_set/assets/v4/IMG-C151.png,7f2b5387935851815555517dae0ad74ab3f4d2354285a391b2226daf0e3572b2,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C152,data/golden_set/assets/v4/IMG-C152.png,f07af00f65fdbc1331a0f3be0f7ee43488438435ce8c4a18ef075eb0a263829d,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=low_contrast.
IMG-C153,data/golden_set/assets/v4/IMG-C153.png,445d859c2c7f56c6b214382fa687a5f96fbff4840e919d761672a19b9908a7fe,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=rotated.
IMG-C154,data/golden_set/assets/v4/IMG-C154.png,060b337b43710df9a53a3e443efd7385498583710fbe25c14b485335da7491ba,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=occluded.
IMG-C155,data/golden_set/assets/v4/IMG-C155.png,917e38231dc3721770cd9a119ff44682d3c0e48d9a874514084b0e51793482c2,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C156,data/golden_set/assets/v4/IMG-C156.png,85f2ac5d3a2c88c434278fc3156709d649e904327db8c98842dde07fc9608efc,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=tiny_text.
IMG-C157,data/golden_set/assets/v4/IMG-C157.png,86135dd4a5f1c3646bc2b81644caf98a6f37df56389c8f068488253d35c74fd9,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C158,data/golden_set/assets/v4/IMG-C158.png,deb0177eab56bd88037208b1dfed3932310192bae49b08e514f37d692acbd3ea,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=low_contrast.
IMG-C159,data/golden_set/assets/v4/IMG-C159.png,b07f5f0795e1db8410dcc8099d767acd570415740a5e58e82ed3dd458d03da29,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=rotated.
IMG-C160,data/golden_set/assets/v4/IMG-C160.png,f0f35d91cc9a45a76faa6e858052b11f64d5764a941ba285ca4f597fdaf72ddc,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=occluded.
IMG-C161,data/golden_set/assets/v4/IMG-C161.png,55a7842ca74c1cce96dc17a5145af9835bea5b51b722e1b778a05cf709e1378c,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
