case_id,annotator_id,reviewer_id,initial_decision,review_decision,initial_policy,review_policy,initial_route,review_route,adjudicator_id,status,notes
C071,synthetic_author_v1,policy_consistency_check_v1,reject,reject,counterfeit,counterfeit,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C072,synthetic_author_v1,policy_consistency_check_v1,reject,reject,counterfeit,counterfeit,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C073,synthetic_author_v1,policy_consistency_check_v1,reject,reject,counterfeit,counterfeit,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C074,synthetic_author_v1,policy_consistency_check_v1,reject,reject,counterfeit,counterfeit,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C075,synthetic_author_v1,policy_consistency_check_v1,reject,reject,counterfeit,counterfeit,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C076,synthetic_author_v1,policy_consistency_check_v1,reject,reject,counterfeit,counterfeit,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C077,synthetic_author_v1,policy_consistency_check_v1,reject,reject,knockoff,knockoff,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C078,synthetic_author_v1,policy_consistency_check_v1,reject,reject,knockoff,knockoff,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C079,synthetic_author_v1,policy_consistency_check_v1,reject,reject,knockoff,knockoff,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C080,synthetic_author_v1,policy_consistency_check_v1,reject,reject,knockoff,knockoff,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C081,synthetic_author_v1,policy_consistency_check_v1,reject,reject,knockoff,knockoff,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C082,synthetic_author_v1,policy_consistency_check_v1,reject,reject,knockoff,knockoff,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C083,synthetic_author_v1,policy_consistency_check_v1,reject,reject,knockoff,knockoff,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C084,synthetic_author_v1,policy_consistency_check_v1,reject,reject,knockoff,knockoff,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
